1,2,1
1,3,8
1,4,9
1,5,6
1,7,10
2,1,3
2,9,2
2,8,4
2,10,5
2,6,7
3,4,1
3,2,7
3,3,6
3,5,9
3,10,8
4,1,10
4,6,2
4,5,3
4,7,4
4,9,8
5,1,6
5,10,2
5,3,9
5,4,5
5,8,7
6,9,1
6,2,4
6,3,7
6,5,8
6,6,10
7,1,5
7,8,2
7,10,3
7,4,6
7,7,9
8,1,8
8,3,2
8,4,10
8,5,7
8,9,6
9,7,1
9,2,5
9,3,4
9,6,8
9,10,9
18,1,2
18,6,5
18,8,3
18,9,4
18,10,7
17,2,9
17,3,1
17,4,8
17,5,10
17,7,6
16,1,4
16,6,3
16,7,2
16,8,10
16,9,5
15,2,6
15,3,5
15,4,7
15,8,9
15,10,1
14,2,10
14,5,4
14,6,1
14,7,8
14,9,3
13,1,9
13,4,2
13,7,3
13,8,5
13,10,6
12,2,8
12,3,10
12,5,1
12,6,4
12,9,7
11,2,3
11,6,9
11,7,5
11,8,1
11,10,4
10,1,7
10,4,3
10,5,2
10,8,6
10,9,10
